abundance	counts	length	countsFromAbundance
ENSMUSG00000000001	20.6113	3459	3034.26	no
ENSMUSG00000000003	0	0	572.1125	no
ENSMUSG00000000028	39.17954	3709.00132	1711.61526048034	no
ENSMUSG00000000031	0.2146932	20	1684.30284068615	no
ENSMUSG00000000037	50.300385	6095.9989	2191.20046125094	no
ENSMUSG00000000049	0	0	448.54675	no
ENSMUSG00000000056	4.6742158	1064.00003	4115.67232383635	no
ENSMUSG00000000058	0	0	1239.466	no
ENSMUSG00000000078	16.7694	3700	3989.26	no
ENSMUSG00000000085	27.2815549	1939.64336	1285.46767066491	no
ENSMUSG00000000088	297.551	7618.15	462.909	no
ENSMUSG00000000093	0.920444	173	3398.26	no
ENSMUSG00000000094	0.616058000067469	96.0629000103861	2819.30566452764	no
ENSMUSG00000000103	0	0	2588.26	no
ENSMUSG00000000120	17.0061	3027.03	3218.26	no
ENSMUSG00000000125	0.317394	50	2848.26	no
ENSMUSG00000000126	0.432957	74	3090.26	no
ENSMUSG00000000127	3.813617	553	2621.78066371636	no
ENSMUSG00000000131	227.8282441	20911.99513	1659.57088607667	no
ENSMUSG00000000134	82.831389	12528.89116	2734.79595594866	no
ENSMUSG00000000142	20.048464	2681.9052	2418.63726554084	no
ENSMUSG00000000148	19.320765	3388.0021	3170.49428756574	no
ENSMUSG00000000149	10.1236	1785.18	3188.26	no
ENSMUSG00000000154	3.5334031	215.99972	1105.26882596724	no
ENSMUSG00000000157	0	0	1929.69525	no
ENSMUSG00000000159	0.0445533	4	1623.26	no
ENSMUSG00000000167	4.6224285	165.27608	646.467439536382	no
ENSMUSG00000000168	30.593366	3284.99688	1941.40167778917	no
ENSMUSG00000000171	86.0614	5042	1059.26	no
ENSMUSG00000000182	1.40197	123	1586.26	no
ENSMUSG00000000183	0	0	1004.26	no
ENSMUSG00000000184	0.128833	39	5473.26	no
ENSMUSG00000000194	43.685475	7473.22786	3092.99578365979	no
ENSMUSG00000000197	1.23122	469	6887.26	no
ENSMUSG00000000202	0.3983352774732	15.9999919646	726.237883507018	no
ENSMUSG00000000204	2.294025	460.05	3625.89855014658	no
ENSMUSG00000000214	0.081207550384	5.9999982171	1335.86510058773	no
ENSMUSG00000000215	0	0	235.292975	no
ENSMUSG00000000216	0.00654314	1	2763.26	no
ENSMUSG00000000223	5.3089017	1667.54441	5679.11731609986	no
ENSMUSG00000000244	6.2715654	370.00029	1066.67755656357	no
ENSMUSG00000000247	1.3347757	146.00019	1977.66282517003	no
ENSMUSG00000000248	0	0	1268.852	no
ENSMUSG00000000253	1.55098	116	1352.26	no
ENSMUSG00000000263	0.0115216	1	1569.26	no
ENSMUSG00000000266	0.470307	83.739	3219.24748689686	no
ENSMUSG00000000275	44.731392	13118.2819	5302.39897524137	no
ENSMUSG00000000276	15.89538728126	6842.71500563	7783.3443937052	no
ENSMUSG00000000278	64.1189	6629	1869.26	no
ENSMUSG00000000282	40.35537	9193.9966	4119.18597609463	no
ENSMUSG00000000290	0.2650038	35.99997	2456.16725491484	no
ENSMUSG00000000295	31.12489	1131.001	656.995382435086	no
ENSMUSG00000000296	8.78568	505	1039.26	no
ENSMUSG00000000301	9.3054597	176.10396	342.167873049474	no
ENSMUSG00000000303	43.38929	10032.17898	4180.4367611807	no
ENSMUSG00000000305	3.8217494	1049.00452	4962.73879267155	no
ENSMUSG00000000308	64.343209	2625.00047	737.623172390625	no
ENSMUSG00000000317	0.276541	48	3138.26	no
ENSMUSG00000000318	3.8986877	139.49556	646.918738440296	no
ENSMUSG00000000320	3.826197	563.3309	2661.97621900284	no
ENSMUSG00000000325	17.472729	2374.4708	2457.04561216041	no
ENSMUSG00000000326	8.46882	819.819	1750.26	no
ENSMUSG00000000339	48.48046	3052.1003	1138.2550806824	no
ENSMUSG00000000340	12.4467	2112.21	3068.26	no
ENSMUSG00000000346	42.9198	3794	1598.26	no
ENSMUSG00000000355	220.23742	3279.003	269.189001805688	no
ENSMUSG00000000359	0.1404295	10	1287.50753630825	no
ENSMUSG00000000365	17.6605	4806	4920.26	no
ENSMUSG00000000374	12.0817	3221	4820.26	no
ENSMUSG00000000378	10.789196	745.99991	1250.13847703888	no
ENSMUSG00000000381	0.0533894	2	677.303	no
ENSMUSG00000000384	292.930164	18044.49395	1113.75147133582	no
ENSMUSG00000000385	0.0185044	3	2931.26	no
ENSMUSG00000000386	6.473661	916.2752	2559.07978945144	no
ENSMUSG00000000392	0.295226	43.0952	2639.26	no
ENSMUSG00000000394	0	0	609.046	no
ENSMUSG00000000399	45.0416	2726	1094.26	no
ENSMUSG00000000402	3.35606	459.641	2476.26	no
ENSMUSG00000000409	4.945094	317.00015	1159.02423345542	no
ENSMUSG00000000411	0.687298	40	1052.26	no
ENSMUSG00000000416	2.5150209	475.2307	3416.41949622009	no
ENSMUSG00000000420	27.2634672	3431.99922	2276.01523069501	no
ENSMUSG00000000435	0.019491	2	1855.26	no
ENSMUSG00000000439	9.42414	1048.86	2012.26	no
ENSMUSG00000000440	0	0	1585.26	no
ENSMUSG00000000441	117.26522	19973.3062	3079.56030070016	no
ENSMUSG00000000486	594.315331	22115.0033	672.78657935681	no
ENSMUSG00000000489	1.21644	181	2690.26	no
ENSMUSG00000000530	0.755587	139	3326.1177635666	no
ENSMUSG00000000531	27.4871	2714.08	1785.26	no
ENSMUSG00000000532	9.08537	2083.99	4147.26	no
ENSMUSG00000000538	15.5896531000921	2815.16010002355	3264.94445690783	no
ENSMUSG00000000544	70.271164	8367.0006	2152.78261593603	no
ENSMUSG00000000552	32.2129	3676	2063.26	no
ENSMUSG00000000555	10.0958	2318	4151.26	no
ENSMUSG00000000560	0	0	2164.26	no
ENSMUSG00000000561	114.02769	19584.564	3105.35652909763	no
ENSMUSG00000000562	4.20789	498.573	2142.26	no
ENSMUSG00000000563	105.47554	6779.8554	1162.18989504031	no
ENSMUSG00000000567	0.266908	57.68	3907.26	no
ENSMUSG00000000568	319.380238	16761.9279	948.907690564274	no
ENSMUSG00000000579	62.015197	7328.0068	2136.46209003029	no
ENSMUSG00000000581	24.141445	1930.0002	1445.44652514607	no
ENSMUSG00000000594	7.5442	1627	3899.26	no
