target_id	length	eff_length	est_counts	tpm
ERCC-00002	1061	849.822	165157	3545.94
ERCC-00003	1023	811.822	25787	579.565
ERCC-00004	523	313.434	77860	4532.42
ERCC-00009	984	772.822	8512	200.962
ERCC-00012	994	782.822	2	0.0466154
ERCC-00013	808	596.91	11	0.336238
ERCC-00014	1957	1745.82	11	0.114962
ERCC-00016	844	632.87	3	0.0864906
ERCC-00017	1136	924.822	0	0
ERCC-00019	644	433.284	305	12.8437
ERCC-00022	751	539.91	3686	124.565
ERCC-00024	536	326.208	3	0.167799
ERCC-00025	1994	1782.82	563	5.76186
ERCC-00028	1130	918.822	44	0.873743
ERCC-00031	1138	926.822	20	0.393728
ERCC-00033	2022	1810.82	13	0.130988
ERCC-00034	1019	807.822	193	4.35917
ERCC-00035	1130	918.822	1086	21.5656
ERCC-00039	740	528.944	44	1.51777
ERCC-00040	744	532.944	4	0.136943
ERCC-00041	1122	910.822	4	0.0801288
ERCC-00042	1023	811.822	10567	237.494
ERCC-00043	1023	811.822	12084	271.589
ERCC-00044	1156	944.822	333	6.43068
ERCC-00046	522	312.454	56226	3283.32
ERCC-00048	992	780.822	0	0
ERCC-00051	274	96.8037	222	41.8431
ERCC-00053	1023	811.822	363	8.15846
ERCC-00054	274	96.8037	53	9.98956
ERCC-00057	1021	809.822	0	0
ERCC-00058	1136	924.822	17	0.335392
ERCC-00059	525	315.394	191	11.0495
ERCC-00060	523	313.434	7438	432.984
ERCC-00061	1136	924.822	0	0
ERCC-00062	1023	811.822	1339	30.0942
ERCC-00067	644	433.284	38	1.6002
ERCC-00069	1137	925.822	32	0.630645
ERCC-00071	642	431.284	592	25.045
ERCC-00073	603	392.517	7	0.325388
ERCC-00074	522	312.454	351718	20538.6
ERCC-00075	1023	811.822	0	0
ERCC-00076	642	431.284	2771	117.229
ERCC-00077	273	96.0614	28	5.31829
ERCC-00078	993	781.822	462	10.7819
ERCC-00079	644	433.284	700	29.4773
ERCC-00081	534	324.229	0	0
ERCC-00083	1022	810.822	0	0
ERCC-00084	994	782.822	237	5.52392
ERCC-00085	844	632.87	85	2.45057
ERCC-00086	1020	808.822	3	0.0676754
ERCC-00092	1124	912.822	3172	63.403
ERCC-00095	521	311.535	1120	65.5954
ERCC-00096	1107	895.822	149057	3035.94
ERCC-00097	523	313.434	9	0.523912
ERCC-00098	1143	931.822	2	0.0391615
ERCC-00099	1350	1138.82	183	2.93196
ERCC-00104	2022	1810.82	2	0.0201519
ERCC-00108	1022	810.822	11454	257.747
ERCC-00109	536	326.208	1	0.055933
ERCC-00111	994	782.822	6364	148.33
ERCC-00112	1136	924.822	905	17.8547
ERCC-00113	840	628.87	64776	1879.38
ERCC-00116	1991	1779.82	1305	13.3782
ERCC-00117	1136	924.822	1	0.019729
ERCC-00120	536	326.208	3	0.167799
ERCC-00123	1022	810.822	3	0.0675084
ERCC-00126	1118	906.822	20	0.402411
ERCC-00130	1059	847.822	285129	6136.19
ERCC-00131	771	559.91	1554	50.6402
ERCC-00134	274	96.8037	5	0.942412
ERCC-00136	1033	821.822	10121	224.703
ERCC-00137	537	327.187	12	0.669188
ERCC-00138	1024	812.822	6	0.134685
ERCC-00142	493	284.09	1	0.0642254
ERCC-00143	784	572.91	50	1.59238
ERCC-00144	538	328.165	162	9.00709
ERCC-00145	1042	830.822	8536	187.46
ERCC-00147	1023	811.822	5	0.112375
ERCC-00148	494	285.053	79	5.05666
ERCC-00150	743	531.944	17	0.583103
ERCC-00154	537	327.187	90	5.01891
ERCC-00156	494	285.053	4	0.256034
ERCC-00157	1019	807.822	62	1.40036
ERCC-00158	1027	815.822	0	0
ERCC-00160	743	531.944	131	4.49332
ERCC-00162	523	313.434	930	54.1376
ERCC-00163	543	333.08	137	7.50472
ERCC-00164	1022	810.822	3	0.0675084
ERCC-00165	872	660.87	553	15.2676
ERCC-00168	1024	812.822	12	0.269369
ERCC-00170	1023	811.822	185	4.15789
ERCC-00171	505	295.809	34635	2136.32
ENSMUST00000178811	10	11	0	0
ENSMUST00000180266	17	18	0	0
ENSMUST00000103439	23	1.5	0	0
ENSMUST00000170385	29	5.33333	0	0
ENSMUST00000177839	17	18	0	0
ENSMUST00000179560	17	18	0	0
ENSMUST00000179166	10	11	0	0
ENSMUST00000178549	17	18	0	0
ENSMUST00000179262	10	11	0	0
ENSMUST00000178483	29	5.33333	0	0
ENSMUST00000178230	17	18	0	0
ENSMUST00000177646	10	11	0	0
ENSMUST00000178909	29	5.33333	0	0
ENSMUST00000103441	23	1.5	0	0
ENSMUST00000178902	29	5.33333	0	0
ENSMUST00000177965	17	18	0	0
ENSMUST00000178815	10	11	0	0
ENSMUST00000180001	17	18	0	0
ENSMUST00000179932	12	13	0	0
ENSMUST00000179883	16	17	0	0
ENSMUST00000179520	11	12	0	0
ENSMUST00000177564	16	17	0	0
ENSMUST00000179664	11	12	0	0
ENSMUST00000178862	14	15	0	0
ENSMUST00000178537	12	13	0	0
ENSMUST00000103567	369	169.417	0	0
ENSMUST00000181483	345	149.475	0	0
ENSMUST00000184883	308	120.777	0	0
ENSMUST00000179789	401	197.517	0	0
ENSMUST00000180717	376	175.442	0	0
ENSMUST00000183820	338	143.894	0	0
ENSMUST00000178768	449	241.798	0	0
ENSMUST00000103580	399	195.765	0	0
ENSMUST00000178426	444	237.173	0	0
ENSMUST00000180687	473	264.836	0	0
ENSMUST00000185019	338	143.894	0	0
ENSMUST00000103646	405	201.161	0	0
ENSMUST00000181793	404	200.228	0	0
ENSMUST00000184436	344	148.671	1	0.122725
ENSMUST00000103648	359	160.963	0	0
ENSMUST00000103586	357	159.335	0	0
ENSMUST00000181360	434	227.825	3	0.240261
ENSMUST00000183652	344	148.671	0	0
ENSMUST00000103588	395	192.253	0	0
ENSMUST00000181038	414	209.268	0	0
ENSMUST00000103616	417	212.074	0	0
ENSMUST00000103636	401	197.517	0	0
ENSMUST00000103637	369	169.417	0	0
ENSMUST00000180549	386	184.193	3	0.297173
ENSMUST00000183604	305	118.563	1	0.153891
ENSMUST00000177622	401	197.517	0	0
ENSMUST00000180711	376	175.442	0	0
ENSMUST00000184650	338	143.894	0	0
ENSMUST00000181728	449	241.798	0	0
ENSMUST00000103643	327	134.919	0	0
ENSMUST00000103581	397	193.972	0	0
ENSMUST00000181210	373	172.841	0	0
ENSMUST00000183488	335	141.515	0	0
ENSMUST00000180972	424	218.524	0	0
ENSMUST00000185023	338	143.894	0	0
ENSMUST00000103657	440	233.418	0	0
ENSMUST00000103658	389	186.859	1	0.0976447
ENSMUST00000179267	386	184.193	0	0
ENSMUST00000184874	276	98.0112	0	0
ENSMUST00000103660	386	184.193	0	0
ENSMUST00000181768	418	212.963	0	0
ENSMUST00000183835	276	98.0112	2	0.37232
ENSMUST00000103662	394	191.33	0	0
ENSMUST00000103663	360	161.875	0	0
ENSMUST00000103664	342	147.041	21.9374	2.72212
ENSMUST00000103638	377	176.312	7	0.724399
ENSMUST00000103641	380	178.86	0	0
ENSMUST00000184687	275	97.4118	0	0
ENSMUST00000103667	421	215.765	0	0
ENSMUST00000180380	384	182.438	1.19279	0.119292
ENSMUST00000184905	264	90.1443	0	0
ENSMUST00000180859	621	410.311	0	0
ENSMUST00000103589	383	181.487	0	0
ENSMUST00000103670	457	249.368	0	0
ENSMUST00000103672	453	245.528	0	0
ENSMUST00000103673	327	134.919	3	0.405704
ENSMUST00000103674	445	238.111	6	0.459764
ENSMUST00000180938	359	160.963	0	0
ENSMUST00000185111	328	135.708	1	0.134449
ENSMUST00000103676	416	211.158	0	0
ENSMUST00000171587	1329	1117.82	0	0
ENSMUST00000100960	2692	2480.82	2.98176	0.02193
ENSMUST00000077582	784	572.91	0	0
ENSMUST00000147728	557	346.794	0	0
ENSMUST00000134898	462	254.122	0	0
ENSMUST00000135748	788	576.91	1	0.0316267
ENSMUST00000182725	558	347.772	37.1328	1.94817
ENSMUST00000183291	1837	1625.82	543.267	6.09681
ENSMUST00000086377	1832	1620.82	29.5501	0.332648
ENSMUST00000179386	1050	838.822	0	0
ENSMUST00000171570	1050	838.822	0	0
ENSMUST00000174177	915	703.87	88.0943	2.28359
ENSMUST00000174248	519	309.555	36.5955	2.15701
ENSMUST00000173567	1252	1040.82	164.31	2.88038
ENSMUST00000153202	936	724.87	60.9906	1.5352
ENSMUST00000179719	1296	1084.82	166.842	2.80614
ENSMUST00000106393	843	631.87	0	0
ENSMUST00000132882	741	529.944	52.363	1.80284
ENSMUST00000006562	910	698.87	0	0
ENSMUST00000183198	589	378.517	4.70269	0.226685
ENSMUST00000182429	423	217.538	0.148656	0.0124684
ENSMUST00000184850	1072	860.822	582.288	12.342
ENSMUST00000173080	1138	926.822	112.173	2.20828
ENSMUST00000185167	836	624.87	28.3446	0.827642
ENSMUST00000184909	1105	893.822	0.379684	0.00775057
ENSMUST00000184397	862	650.87	78.7527	2.20767
ENSMUST00000185087	1064	852.822	4.6065	0.0985541
ENSMUST00000184993	829	617.87	45.9186	1.35598
ENSMUST00000184502	862	650.87	81.6931	2.29009
ENSMUST00000183560	316	126.824	0	0
ENSMUST00000183999	358	160.139	0	0
ENSMUST00000184501	995	783.822	0	0
ENSMUST00000174625	3389	3177.82	34.0056	0.195247
ENSMUST00000174382	1699	1487.82	0	0
ENSMUST00000166442	1481	1269.82	1.3156	0.0189036
ENSMUST00000184861	2272	2060.82	2.84526	0.0251909
ENSMUST00000184581	707	496.075	0	0
ENSMUST00000112076	2277	2065.82	0.16703	0.00147525
ENSMUST00000173185	1458	1246.82	36.718	0.537324
ENSMUST00000174789	1107	895.822	0	0
ENSMUST00000172684	1359	1147.82	302.912	4.81509
ENSMUST00000173420	1257	1045.82	0	0
ENSMUST00000182769	727	515.978	0	0
ENSMUST00000088673	531	321.312	0	0
ENSMUST00000122808	3794	3582.82	3.73966	0.0190445
ENSMUST00000077820	1581	1369.82	27.7931	0.3702
ENSMUST00000173667	1194	982.822	0	0
ENSMUST00000172762	3466	3254.82	0	0
ENSMUST00000173703	3314	3102.82	2	0.0117608
ENSMUST00000103430	53	14.2727	0	0
ENSMUST00000103429	54	11.4667	0	0
ENSMUST00000103428	48	11.6667	0	0
ENSMUST00000103427	54	11.4667	0	0
ENSMUST00000103739	27	5.5	0	0
ENSMUST00000103738	66	10.6327	0	0
ENSMUST00000103737	66	10.6327	0	0
ENSMUST00000103736	63	9.82051	0	0
ENSMUST00000103735	62	10.4242	0	0
ENSMUST00000103734	62	10.4242	0	0
ENSMUST00000103733	59	13	0	0
ENSMUST00000103732	37	13.3333	0	0
ENSMUST00000103731	58	13.3333	0	0
ENSMUST00000103730	59	13	0	0
ENSMUST00000103729	58	13.3333	0	0
ENSMUST00000103728	57	13.0588	0	0
ENSMUST00000103727	33	9.33333	0	0
ENSMUST00000103726	60	12.3043	0	0
ENSMUST00000103725	61	11.1071	0	0
ENSMUST00000103724	63	9.82051	0	0
ENSMUST00000103723	66	10.6327	0	0
ENSMUST00000103722	61	11.1071	1	1.64271
ENSMUST00000103721	58	13.3333	1	1.36843
ENSMUST00000103720	57	13.0588	0	0
ENSMUST00000103719	60	12.3043	0	0
ENSMUST00000103718	60	12.3043	0	0
ENSMUST00000103717	63	9.82051	0	0
ENSMUST00000103716	57	13.0588	0	0
ENSMUST00000103715	60	12.3043	0	0
ENSMUST00000103714	59	13	0	0
ENSMUST00000103713	65	10.0426	0	0
ENSMUST00000103712	60	12.3043	0	0
ENSMUST00000103711	59	13	0	0
ENSMUST00000103710	57	13.0588	0	0
ENSMUST00000103709	66	10.6327	0	0
ENSMUST00000103708	57	13.0588	0	0
ENSMUST00000103707	58	13.3333	0	0
ENSMUST00000103706	65	10.0426	0	0
ENSMUST00000167829	63	9.82051	0	0
ENSMUST00000103705	60	12.3043	0	0
ENSMUST00000103704	62	10.4242	0	0
ENSMUST00000103703	63	9.82051	0	0
ENSMUST00000103702	61	11.1071	0	0
ENSMUST00000103701	55	11.75	0	0
ENSMUST00000103700	64	10.119	0	0
ENSMUST00000103699	57	13.0588	0	0
ENSMUST00000103698	61	11.1071	0	0
ENSMUST00000103697	63	9.82051	0	0
ENSMUST00000103696	63	9.82051	0	0
ENSMUST00000103695	60	12.3043	0	0
ENSMUST00000103694	59	13	0	0
ENSMUST00000103693	63	9.82051	1	1.85793
ENSMUST00000103692	43	10.8333	0	0
ENSMUST00000103691	66	10.6327	0	0
ENSMUST00000103690	66	10.6327	0	0
ENSMUST00000165071	54	11.4667	0	0
ENSMUST00000170585	63	9.82051	0	0
ENSMUST00000103689	63	9.82051	0	0
ENSMUST00000103688	65	10.0426	0	0
ENSMUST00000103687	63	9.82051	0	0
ENSMUST00000103686	64	10.119	0	0
ENSMUST00000167781	54	11.4667	0	0
ENSMUST00000165025	72	10.0213	0	0
ENSMUST00000103683	59	13	0	0
