abundance	counts	length	countsFromAbundance	log10abundance_norm
ENSMUSG00000000001	20.6113	3459	3034.26	no	1.40953007091308
ENSMUSG00000000003	0	0	572.1125	no	0.0057937204204521
ENSMUSG00000000028	39.17954	3709.00132	1711.61526048034	no	1.68341931462774
ENSMUSG00000000031	0.2146932	20	1684.30284068615	no	0.109565003270043
ENSMUSG00000000037	50.300385	6095.9989	2191.20046125094	no	1.79175584197401
ENSMUSG00000000049	0	0	448.54675	no	0.0057937204204521
ENSMUSG00000000056	4.6742158	1064.00003	4115.67232383635	no	0.812623041665016
ENSMUSG00000000058	0	0	1239.466	no	0.00642147058360215
ENSMUSG00000000078	16.7694	3700	3989.26	no	1.32273263619884
ENSMUSG00000000085	27.2815549	1939.64336	1285.46767066491	no	1.5267058921489
ENSMUSG00000000088	297.551	7618.15	462.909	no	2.55876705948257
ENSMUSG00000000093	0.920444	173	3398.26	no	0.308856163026582
ENSMUSG00000000094	0.616058000067469	96.0629000103861	2819.30566452764	no	0.228544678990555
ENSMUSG00000000103	0	0	2588.26	no	0.0057937204204521
ENSMUSG00000000120	17.0061	3027.03	3218.26	no	1.32873304842619
ENSMUSG00000000125	0.317394	50	2848.26	no	0.142353101639211
ENSMUSG00000000126	0.432957	74	3090.26	no	0.169649422147824
ENSMUSG00000000127	3.813617	553	2621.78066371636	no	0.739676933565217
ENSMUSG00000000131	227.8282441	20911.99513	1659.57088607667	no	2.44223853241691
ENSMUSG00000000134	82.831389	12528.89116	2734.79595594866	no	2.00524979957984
ENSMUSG00000000142	20.048464	2681.9052	2418.63726554084	no	1.39698689703171
ENSMUSG00000000148	19.320765	3388.0021	3170.49428756574	no	1.38194072461808
ENSMUSG00000000149	10.1236	1785.18	3188.26	no	1.11446609153294
ENSMUSG00000000154	3.5334031	215.99972	1105.26882596724	no	0.715953699610489
ENSMUSG00000000157	0	0	1929.69525	no	0.0057937204204521
ENSMUSG00000000159	0.0445533	4	1623.26	no	0.0280228255122015
ENSMUSG00000000167	4.6224285	165.27608	646.467439536382	no	0.809949026497113
ENSMUSG00000000168	30.593366	3284.99688	1941.40167778917	no	1.57689618515682
ENSMUSG00000000171	86.0614	5042	1059.26	no	2.02155825196272
ENSMUSG00000000182	1.40197	123	1586.26	no	0.414938518629104
ENSMUSG00000000183	0	0	1004.26	no	0.00671405709780529
ENSMUSG00000000184	0.128833	39	5473.26	no	0.0628297275722524
ENSMUSG00000000194	43.685475	7473.22786	3092.99578365979	no	1.72854525486458
ENSMUSG00000000197	1.23122	469	6887.26	no	0.373878351034718
ENSMUSG00000000202	0.3983352774732	15.9999919646	726.237883507018	no	0.165890282403302
ENSMUSG00000000204	2.294025	460.05	3625.89855014658	no	0.55608647073847
ENSMUSG00000000214	0.081207550384	5.9999982171	1335.86510058773	no	0.0442493241363934
