target_id	length	eff_length	est_counts	tpm
ERCC-00002	1061	833.259	110086	2388.69
ERCC-00003	1023	795.259	17041	387.431
ERCC-00004	523	299.467	52492	3169.22
ERCC-00009	984	756.259	5647	135.007
ERCC-00012	994	766.259	1	0.0235957
ERCC-00013	808	580.543	4	0.124576
ERCC-00014	1957	1729.26	7	0.073189
ERCC-00016	844	616.39	1	0.0293327
ERCC-00017	1136	908.259	1	0.0199066
ERCC-00019	644	417.328	182	7.885
ERCC-00022	751	523.688	2364	81.6174
ERCC-00024	536	311.928	1	0.0579633
ERCC-00025	1994	1766.26	412	4.21746
ERCC-00028	1130	902.259	29	0.581132
ERCC-00031	1138	910.259	23	0.456847
ERCC-00033	2022	1794.26	25	0.25192
ERCC-00034	1019	791.259	143	3.26757
ERCC-00035	1130	902.259	684	13.7067
ERCC-00039	740	512.721	20	0.705271
ERCC-00040	744	516.688	4	0.139971
ERCC-00041	1122	894.259	0	0
ERCC-00042	1023	795.259	6999	159.124
ERCC-00043	1023	795.259	8490	193.022
ERCC-00044	1156	928.259	240	4.67466
ERCC-00046	522	298.486	35360	2141.88
ERCC-00048	992	764.259	0	0
ERCC-00051	274	93.2956	130	25.1936
ERCC-00053	1023	795.259	261	5.93389
ERCC-00054	274	93.2956	26	5.03872
ERCC-00057	1021	793.259	0	0
ERCC-00058	1136	908.259	8	0.159253
ERCC-00059	525	301.467	118	7.07702
ERCC-00060	523	299.467	4796	289.56
ERCC-00061	1136	908.259	0	0
ERCC-00062	1023	795.259	933	21.212
ERCC-00067	644	417.328	19	0.823159
ERCC-00069	1137	909.259	23	0.457349
ERCC-00071	642	415.382	451	19.6307
ERCC-00073	603	377.124	4	0.191771
ERCC-00074	522	298.486	226451	13717
ERCC-00075	1023	795.259	0	0
ERCC-00076	642	415.382	1820	79.2194
ERCC-00077	273	92.6457	17	3.31766
ERCC-00078	993	765.259	279	6.59179
ERCC-00079	644	417.328	491	21.2722
ERCC-00081	534	309.969	0	0
ERCC-00083	1022	794.259	0	0
ERCC-00084	994	766.259	173	4.08205
ERCC-00085	844	616.39	49	1.4373
ERCC-00086	1020	792.259	0	0
ERCC-00092	1124	896.259	2283	46.0554
ERCC-00095	521	297.506	748	45.4584
ERCC-00096	1107	879.259	103110	2120.27
ERCC-00097	523	299.467	2	0.120751
ERCC-00098	1143	915.259	0	0
ERCC-00099	1350	1122.26	131	2.1105
ERCC-00104	2022	1794.26	0	0
ERCC-00108	1022	794.259	7126	162.215
ERCC-00109	536	311.928	9	0.52167
ERCC-00111	994	766.259	4041	95.3501
ERCC-00112	1136	908.259	598	11.9042
ERCC-00113	840	612.39	44254	1306.57
ERCC-00116	1991	1763.26	974	9.98736
ERCC-00117	1136	908.259	1	0.0199066
ERCC-00120	536	311.928	6	0.34778
ERCC-00123	1022	794.259	1	0.0227638
ERCC-00126	1118	890.259	16	0.324946
ERCC-00130	1059	831.259	193688	4212.83
ERCC-00131	771	543.688	1018	33.8537
ERCC-00134	274	93.2956	6	1.16278
ERCC-00136	1033	805.259	7118	159.82
ERCC-00137	537	312.847	3	0.173379
ERCC-00138	1024	796.259	0	0
ERCC-00142	493	271.306	0	0
ERCC-00143	784	556.617	22	0.714617
ERCC-00144	538	313.826	136	7.83533
ERCC-00145	1042	814.259	5405	120.016
ERCC-00147	1023	795.259	9	0.204617
ERCC-00148	494	272.27	39	2.58984
ERCC-00150	743	515.721	16	0.560935
ERCC-00154	537	312.847	77	4.45007
ERCC-00156	494	272.27	2	0.132812
ERCC-00157	1019	791.259	39	0.891156
ERCC-00158	1027	799.259	3	0.0678643
ERCC-00160	743	515.721	91	3.19032
ERCC-00162	523	299.467	590	35.6214
ERCC-00163	543	318.559	126	7.15135
ERCC-00164	1022	794.259	0	0
ERCC-00165	872	644.39	371	10.4096
ERCC-00168	1024	796.259	7	0.158947
ERCC-00170	1023	795.259	138	3.13746
ERCC-00171	505	282.562	21445	1372.21
ENSMUST00000178811	10	9	0	0
ENSMUST00000180266	17	16	0	0
ENSMUST00000103439	23	22	0	0
ENSMUST00000170385	29	14.5	0	0
ENSMUST00000177839	17	16	0	0
ENSMUST00000179560	17	16	0	0
ENSMUST00000179166	10	9	0	0
